objectId,tns_classification,tns_redshift,tns_name,ra,dec,tns_classification_mapped,Fink URL,is_CV_visual_inpsection
ZTF25aanzrcx,CV,0.0,2025igx,302.3637283,10.74227591,CV,https://ztf.fink-portal.org/ZTF25aanzrcx,yes
ZTF25aawlutq,CV,0.0,2025omy,293.4752402,42.333595,CV,https://ztf.fink-portal.org/ZTF25aawlutq,yes
ZTF24aaspwim,CV,0.0,2024mqg,272.6875207,22.77983795,CV,https://ztf.fink-portal.org/ZTF24aaspwim,yes
ZTF25abhfslz,CV,0.0,2025tfv,280.6299621,17.79256942,CV,https://ztf.fink-portal.org/ZTF25abhfslz,yes
ZTF25aardghz,CV,0.0,2025ljt,253.3362073,-8.4256413,CV,https://ztf.fink-portal.org/ZTF25aardghz,yes
ZTF24abjfzow,CV,0.0,2024wuh,102.4918542,-23.06108502,CV,https://ztf.fink-portal.org/ZTF24abjfzow,yes
ZTF25abcmcmo,CV,0.0,2025rvv,312.0430455,-24.35949927,CV,https://ztf.fink-portal.org/ZTF25abcmcmo,yes
ZTF25abwrsbc,CV,0.0,2025aaeu,39.66140235,-21.06269998,CV,https://ztf.fink-portal.org/ZTF25abwrsbc,yes
ZTF24ablknoq,CV,0.0,2024xhn,102.7270469,59.60682019,CV,https://ztf.fink-portal.org/ZTF24ablknoq,yes
ZTF24aavybxc,CV,0.0,2024pnt,255.9206277,-6.5129304,CV,https://ztf.fink-portal.org/ZTF24aavybxc,yes
ZTF25aafejht,CV,0.0,2025aiv,272.5319221,47.89423145,CV,https://ztf.fink-portal.org/ZTF25aafejht,yes
ZTF24abeegoz,CV,0.0,2024uah,300.1181432,-3.009536871,CV,https://ztf.fink-portal.org/ZTF24abeegoz,yes
ZTF24aaoovbv,CV,0.0,2024jqp,313.7161606,29.70595609,CV,https://ztf.fink-portal.org/ZTF24aaoovbv,yes
ZTF24aatqfom,CV,0.0,2024nat,245.726877,-16.18358583,CV,https://ztf.fink-portal.org/ZTF24aatqfom,yes
ZTF25aahcavm,CV,0.0,2021agrd,133.7757928,-25.84064038,CV,https://ztf.fink-portal.org/ZTF25aahcavm,yes
ZTF25aatnwge,CV,0.0,2025mxo,295.1700681,55.73689442,CV,https://ztf.fink-portal.org/ZTF25aatnwge,yes
ZTF25aahtwad,CV,0.0,2025cwe,210.9170299,79.79201399,CV,https://ztf.fink-portal.org/ZTF25aahtwad,yes
ZTF24aalbxfh,CV,0.0,2024hif,160.7939392,82.68346141,CV,https://ztf.fink-portal.org/ZTF24aalbxfh,yes
ZTF23abdmbau,CV,,2023sus,291.9539891,-3.754838129,CV,https://ztf.fink-portal.org/ZTF23abdmbau,yes
ZTF24aadeeew,CV,,2024amp,194.6985921,-8.818755533,CV,https://ztf.fink-portal.org/ZTF24aadeeew,yes
ZTF25abgkgdu,CV,,2025swd,338.589961,11.97841517,CV,https://ztf.fink-portal.org/ZTF25abgkgdu,yes
ZTF24abbvhxw,CV,,2024sio,262.998967,5.6674305,CV,https://ztf.fink-portal.org/ZTF24abbvhxw,yes
ZTF25aaoxrsz,CV,,2025jpj,281.8958974,29.09945329,CV,https://ztf.fink-portal.org/ZTF25aaoxrsz,yes
ZTF23ablfxvj,Nova,-0.001,2023veq,10.88480846,41.63906902,CV,https://ztf.fink-portal.org/ZTF23ablfxvj,yes
ZTF25abxdetz,Nova,0.0,2025aapj,10.02528521,40.81528233,CV,https://ztf.fink-portal.org/ZTF25abxdetz,yes
ZTF25abjnifk,Nova,0.0,2025usz,333.4737535,30.26167784,CV,https://ztf.fink-portal.org/ZTF25abjnifk,yes
ZTF25aborgma,Nova,0.0,2025wwe,10.79548333,41.7701981,CV,https://ztf.fink-portal.org/ZTF25aborgma,yes
ZTF24abcuvds,Nova,0.0,2024ssv,11.74634493,40.56179195,CV,https://ztf.fink-portal.org/ZTF24abcuvds,yes
ZTF25acemscy,Nova,0.0,2025aesw,10.167679,41.37889254,CV,https://ztf.fink-portal.org/ZTF25acemscy,yes
ZTF23abrzabc,Nova,,2023ypg,23.22482328,30.36060776,CV,https://ztf.fink-portal.org/ZTF23abrzabc,yes
ZTF24abcvapx,,,2024tdc,68.76454578,86.94030261,,https://ztf.fink-portal.org/ZTF24abcvapx,yes
ZTF25aabtxoc,,,2025qj,76.79817332,34.33691498,,https://ztf.fink-portal.org/ZTF25aabtxoc,yes
ZTF25aaxihdl,,,2025pgc,278.3379976,-11.1612312,,https://ztf.fink-portal.org/ZTF25aaxihdl,yes
ZTF23abhzekh,,,2023uqg,99.14737859,6.263955508,,https://ztf.fink-portal.org/ZTF23abhzekh,yes
ZTF25abawgwl,,,,270.2896453,-23.86625435,,https://ztf.fink-portal.org/ZTF25abawgwl,yes
ZTF25aabvexg,,,,14.28087533,66.66011433,,https://ztf.fink-portal.org/ZTF25aabvexg,yes
ZTF25aceinhd,,,,36.76853124,55.37083715,,https://ztf.fink-portal.org/ZTF25aceinhd,yes
ZTF25aalqjms,,,,102.5307852,0.03527587143,,https://ztf.fink-portal.org/ZTF25aalqjms,yes
ZTF24abracvj,,,2024aanz,357.7435506,53.29887022,,https://ztf.fink-portal.org/ZTF24abracvj,yes
ZTF24abaalzx,,,2024rue,322.6470802,19.67442453,,https://ztf.fink-portal.org/ZTF24abaalzx,yes
ZTF24aaruxmt,,,2024ldk,316.2348073,67.70986072,,https://ztf.fink-portal.org/ZTF24aaruxmt,yes
ZTF24abgdwyx,,,2024uzm,63.40695213,18.13347343,,https://ztf.fink-portal.org/ZTF24abgdwyx,yes
